Url,Image,Name,Price
https://diwanegypt.com/product/buddha-wisdom-shakti-power-50-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2022/06/9781572819474-450x600.jpg,"Buddha Wisdom, Shakti Power (50-Card Deck & Guidebook)","EGP1,380.00"
https://diwanegypt.com/product/dream-oracle-cards-for-the-awakening-dreamer-53-card-deck/,https://diwanegypt.com/wp-content/uploads/2022/03/9781572819344-450x600.jpg,Dream Oracle Cards: For the Awakening Dreamer (53-Card Deck,"EGP1,380.00"
https://diwanegypt.com/product/influence-of-the-angels-tarot-80-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2022/06/9781572818545-450x600.jpg,Influence Of The Angels Tarot (80-Card Deck & Guidebook),"EGP1,620.00"
https://diwanegypt.com/product/maybe-lenormand-fortune-telling-deck-52-card-deck-guideb/,https://diwanegypt.com/wp-content/uploads/2024/11/9781572818330-450x600.jpg,Maybe Lenormand: Fortune Telling Deck (52-Card Deck & Guideb,"EGP1,130.00"
https://diwanegypt.com/product/bianco-nero-tarot-80-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2022/06/9781572818309-450x600.jpg,Bianco Nero Tarot (80-Card Deck & Guidebook),"EGP1,320.00"
https://diwanegypt.com/product/chrysalis-tarot-78-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2022/06/9781572816893-450x600.jpg,Chrysalis Tarot (78-Card Deck & Guidebook),"EGP1,320.00"
https://diwanegypt.com/product/cats-eye-tarot-78-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781572816855.jpg,Cat’s Eye Tarot (78-Card Deck & Guidebook),"EGP1,320.00"
https://diwanegypt.com/product/the-rider-tarot-deck-premier-ed-78-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781572815049-450x600.jpg,The Rider Tarot Deck (Premier Ed.)(78-Card Deck & Guidebook),"EGP1,620.00"
https://diwanegypt.com/product/shaman-wisdom-cards-65-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781572811232-450x600.jpg,Shaman Wisdom Cards (65-Card Deck & Guidebook),"EGP1,320.00"
https://diwanegypt.com/product/pure-colour/,https://diwanegypt.com/wp-content/uploads/2024/11/9781250863041-450x600.jpg,Pure Colour,"EGP1,020.00"
